star.thisTrialN,star.stepSize,star.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,star.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
34,0.5,13.5,38.138081800192595,,38.126074499916285,38.138081800192595,38.637909000273794,38.637909000273794,38.637909000273794,38.93797650001943,39.1612680000253,right,13.5,1,1,0.518703400157392,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
35,0.5,13.5,39.171282100025564,,39.16140350000933,39.171282100025564,39.67121440032497,39.67121440032497,39.67121440032497,39.970985600259155,40.09447479993105,right,13.5,1,1,0.4182072002440691,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
36,0.5,13.5,40.104498100001365,,40.09459490003064,40.104498100001365,40.60438650008291,40.60438650008291,40.60438650008291,,40.8606271003373,right,13.5,1,1,0.24782070005312562,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
37,0.5,13.0,40.870914299972355,,40.86075560003519,40.870914299972355,41.37135440018028,41.37135440018028,41.37135440018028,41.67083870014176,41.7099164002575,left,-13.0,0,0,0.3225920000113547,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
38,0.5,13.5,41.72079099994153,,41.710043699946254,41.72079099994153,42.22052669990808,42.22052669990808,42.22052669990808,42.52184149995446,43.39355850033462,right,13.5,1,1,1.1586840003728867,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
39,0.5,13.5,43.40429600002244,,43.39367570029572,43.40429600002244,43.903792900033295,43.903792900033295,43.903792900033295,44.20420050015673,44.3094629002735,left,-13.5,1,1,0.4029862997122109,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
40,0.5,13.5,44.32082610018551,,44.3095801002346,44.32082610018551,44.82086140010506,44.82086140010506,44.82086140010506,45.120769100263715,45.21056410018355,right,13.5,0,0,0.3832195997238159,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
41,0.5,14.0,45.220419799908996,,45.21068700030446,45.220419799908996,45.72066370025277,45.72066370025277,45.72066370025277,46.020567500032485,46.32630140008405,left,-14.0,1,1,0.5923528000712395,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
42,0.5,14.0,46.33703440008685,,46.326426200103015,46.33703440008685,46.836793900001794,46.836793900001794,46.836793900001794,47.13768110005185,47.31560990028083,left,-14.0,1,1,0.472989899571985,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
43,0.5,14.0,47.335523600224406,,47.31573439994827,47.335523600224406,47.82036960031837,47.82036960031837,47.836852699983865,48.1205831002444,48.19246789999306,left,-14.0,0,0,0.36164679983630776,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
44,0.5,14.5,48.20358429988846,,48.1926617003046,48.20358429988846,48.703693700022995,48.703693700022995,48.703693700022995,49.003811500035226,49.0425183000043,right,14.5,1,1,0.32157889986410737,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
45,0.5,14.5,49.05345770018175,,49.04263410018757,49.05345770018175,49.55324950022623,49.55324950022623,49.55324950022623,49.852869499940425,49.908113200217485,right,14.5,1,1,0.34477860014885664,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
46,0.5,14.5,49.91940970020369,,49.908239299897105,49.91940970020369,50.420775699894875,50.420775699894875,50.420775699894875,,50.60936090024188,left,-14.5,0,0,0.1741712000221014,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
47,0.5,15.0,50.61974180024117,,50.60947490017861,50.61974180024117,51.119987099897116,51.119987099897116,51.119987099897116,51.41911950008944,51.493178999982774,right,15.0,0,0,0.3628851003013551,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
48,0.5,15.5,51.50302080018446,,51.49330670014024,51.50302080018446,52.00320170028135,52.00320170028135,52.00320170028135,52.30345429992303,52.34285179991275,right,15.5,0,0,0.3309956002049148,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
49,0.5,16.0,52.352721200324595,,52.342978900298476,52.352721200324595,52.85385090019554,52.85385090019554,52.85385090019554,53.153460800182074,53.37573469989002,left,-16.0,1,1,0.5135192000307143,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
50,0.5,16.0,53.38618570007384,,53.3758518001996,53.38618570007384,53.88546560006216,53.88546560006216,53.88546560006216,54.18695450015366,54.194598800037056,left,-16.0,1,1,0.3038037000223994,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
51,0.5,16.0,54.20248520001769,,54.194721300154924,54.20248520001769,54.70265359990299,54.70265359990299,54.70265359990299,,54.90865179989487,right,16.0,0,0,0.19468049984425306,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
52,0.5,16.5,54.91919000027701,,54.90876210015267,54.91919000027701,55.41984920017421,55.41984920017421,55.41984920017421,55.71975690033287,55.92599399993196,right,16.5,1,1,0.4995218999683857,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
53,0.5,16.5,55.93591220024973,,55.9261078001,55.93591220024973,56.43627199996263,56.43627199996263,56.43627199996263,56.73630140023306,56.80860280012712,right,16.5,1,1,0.365845600143075,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
54,0.5,16.5,56.819333600346,,56.80872440012172,56.819333600346,57.31905460031703,57.31905460031703,57.31905460031703,57.61895660031587,57.690714300144464,left,-16.5,0,0,0.35612820042297244,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
